122step	0.4292	0.2578
123step	0.4535	0.2423
124step	0.6007	0.2568
125step	0.7479	0.2505
126step	0.5092	0.2424
127step	0.5343	0.2815
128step	0.4088	0.249
129step	0.6542	0.242
130step	0.5159	0.2543
131step	0.4264	0.2605
132step	0.518	0.2395
133step	0.6041	0.2444
134step	0.6286	0.2602
135step	0.4068	0.2735
136step	0.4589	0.2195
137step	0.4149	0.2387
138step	0.7235	0.2249
139step	0.373	0.2538
140step	0.6652	0.2392
141step	0.3831	0.225
142step	0.6174	0.2226
143step	0.6181	0.2269
144step	0.4656	0.219
145step	0.7046	0.2569
146step	0.7858	0.2255
147step	0.3874	0.2279
148step	0.5266	0.2364
149step	0.5504	0.2501
150step	0.5589	0.2409
151step	0.6775	0.2451
152step	0.6165	0.2312
153step	0.4968	0.2231
154step	0.5444	0.2692
155step	0.5217	0.2226
156step	0.8354	0.2399
157step	0.635	0.2731
158step	0.5898	0.2231
159step	0.6207	0.2343
160step	0.6896	0.2577
161step	0.3923	0.2102
162step	0.5546	0.2194
163step	0.4874	0.2146
164step	0.6752	0.2279
165step	0.7643	0.1976
166step	0.6531	0.2329
167step	0.4494	0.2351
168step	0.4811	0.2385
169step	0.3787	0.1909
170step	0.4059	0.2158
171step	0.5506	0.1892
172step	0.3292	0.2116
173step	0.4384	0.2005
174step	0.6522	0.2271
175step	0.473	0.2372
176step	0.4807	0.2305
177step	0.5158	0.2109
178step	0.6938	0.2451
179step	0.5194	0.194
180step	0.5982	0.2121
181step	0.4386	0.2104
182step	0.4584	0.2115
183step	0.5125	0.217
184step	0.6392	0.2232
185step	0.5179	0.1939
186step	0.3684	0.204
187step	0.5059	0.2001
188step	0.6063	0.2171
189step	0.7031	0.2385
190step	0.431	0.1981
191step	0.7114	0.2334
192step	0.6991	0.2462
193step	0.5216	0.212
194step	0.622	0.227
195step	0.5273	0.2124
196step	0.4659	0.2058
197step	0.6369	0.2291
198step	0.5292	0.231
199step	0.7569	0.2309
200step	0.58	0.2068
201step	0.4956	0.1969
202step	0.7348	0.2074
203step	0.7592	0.2143
204step	0.8287	0.231
205step	0.5781	0.2071
206step	0.5927	0.1986
207step	0.5834	0.2144
208step	0.5955	0.1986
209step	0.6062	0.2173
210step	0.5323	0.2205
211step	0.3927	0.2124
212step	0.52	0.2273
213step	0.5955	0.2272
214step	0.4924	0.1864
215step	0.4944	0.1841
216step	0.4673	0.2115
217step	0.5119	0.2105
218step	0.5608	0.1967
219step	0.6191	0.2042
220step	0.3711	0.2089
221step	0.4631	0.2062
222step	0.4196	0.1972
223step	0.5284	0.2007
224step	0.6797	0.2118
225step	0.3843	0.1959
226step	0.7367	0.2113
227step	0.6185	0.2328
228step	0.5493	0.1952
229step	0.5163	0.1827
230step	0.6636	0.2094
231step	0.3686	0.1777
232step	0.4703	0.2177
233step	0.3719	0.1933
234step	0.3878	0.1957
235step	0.7683	0.1952
236step	0.4551	0.1993
237step	0.5258	0.1983
238step	0.4464	0.1957
239step	0.6486	0.1879
240step	0.7131	0.1942
241step	0.5081	0.191
242step	0.7112	0.1991
243step	0.6076	0.2043
244step	0.4227	0.2047
245step	0.4676	0.1813
246step	0.4205	0.1835
247step	0.4923	0.1983
248step	0.4399	0.2102
249step	0.4915	0.1972
250step	0.4502	0.2007
251step	0.6053	0.2018
252step	0.6867	0.1979
253step	0.8203	0.1967
254step	0.4036	0.1731
255step	0.667	0.2086
256step	0.4699	0.2182
257step	0.3308	0.1735
258step	0.5136	0.177
259step	0.5712	0.1861
260step	0.5719	0.1867
261step	0.5877	0.2011
262step	0.6575	0.205
263step	0.5207	0.1913
264step	0.5088	0.1991
265step	0.4219	0.1994
266step	0.5157	0.1982
267step	0.3976	0.1841
268step	0.5505	0.2043
269step	0.3836	0.188
270step	0.6659	0.1965
271step	0.4285	0.1961
272step	0.3913	0.1961
273step	0.6529	0.191
274step	0.5211	0.1863
275step	0.519	0.206
276step	0.5747	0.2206
277step	0.6442	0.2059
278step	0.3861	0.1792
279step	0.598	0.1879
280step	0.4705	0.1732
281step	0.5466	0.1993
282step	0.4394	0.1913
283step	0.5358	0.1841
284step	0.4944	0.1907
285step	0.4934	0.1959
286step	0.4984	0.1994
287step	0.512	0.1844
288step	0.6283	0.1788
289step	0.6792	0.2101
290step	0.3884	0.1964
291step	0.5062	0.184
292step	0.4534	0.1807
293step	0.3807	0.1972
294step	0.4402	0.1838
295step	0.4603	0.1999
296step	0.4274	0.2046
297step	0.405	0.2048
298step	0.3394	0.1791
299step	0.5487	0.2068
